source_token,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//29//9122,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14810,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14863,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//23//6874,OMOP//OMOP_CONCEPT//43656933,,True,,OMOP_CONCEPT,43656933,,Biperiden 5 MG/ML Injectable Solution [Akineton],AMSTEL_usagi,source_code_omop,medium
DRUG//START//15//9602,OMOP//OMOP_CONCEPT//35417660,,True,,OMOP_CONCEPT,35417660,,2 ML Tetanus immune globulin 125 UNT/ML Prefilled Syringe,AMSTEL_usagi,source_code_omop,medium
DRUG//START//21//13029,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14874,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//7212,OMOP//OMOP_CONCEPT//40063502,,True,,OMOP_CONCEPT,40063502,,naloxone Injectable Solution [Narcan],AMSTEL_usagi,source_code_omop,medium
DRUG//START//69//9034,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//118//20647,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//15//20175,OMOP//OMOP_CONCEPT//40241491,,True,,OMOP_CONCEPT,40241491,,colistin Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//119//14212,,,False,route_or_order_metadata,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//9064,OMOP//OMOP_CONCEPT//40162347,,True,,OMOP_CONCEPT,40162347,,diclofenac sodium 50 MG Delayed Release Oral Tablet [Voltaren],AMSTEL_usagi,source_code_omop,medium
DRUG//START//29//9118,OMOP//OMOP_CONCEPT//21106137,,True,,OMOP_CONCEPT,21106137,,Methotrimeprazine 25 MG Oral Tablet [Nozinan],AMSTEL_usagi,source_code_omop,medium
DRUG//START//30//6942,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//39//18795,OMOP//OMOP_CONCEPT//2022666,,False,parenteral_nutrition,OMOP_CONCEPT,2022666,,"1970 ML alanine 7.1 MG/ML / arginine 6 MG/ML / calcium chloride, dihydration 0.37 MG/ML / fish oils 5.7 MG/ML / glucose 133 MG/ML / glycerol mono(di)sodium phosphate 2.12 MG/ML / glycine 5.7 MG/ML / ... Injectable Solution [SMOF KABIVEN]",AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14906,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14968,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14998,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//67//9025,OMOP//RXNORM_EXTENSION//44081462,,True,,RxNorm Extension,44081462,,pamidronate Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//31//12942,ATC//SFX//A04,,True,,ATC,21600493,,A04AA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//20722,,,False,enteral_nutrition,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//55//16854,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14862,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//13951,OMOP//OMOP_CONCEPT//42621046,,False,crystalloid_or_diluent,OMOP_CONCEPT,42621046,,Sodium Bicarbonate 42 MG/ML Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//69//7040,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//118//19380,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//21//19738,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//25//16917,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//19136,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14961,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//71//19212,OMOP//OMOP_CONCEPT//21148776,,True,,OMOP_CONCEPT,21148776,,Ethinyl Estradiol 0.03 MG / Levonorgestrel 0.15 MG [Microgynon],AMSTEL_usagi,source_code_omop,medium
DRUG//START//119//15719,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//15//8375,OMOP//OMOP_CONCEPT//783871,,True,,OMOP_CONCEPT,783871,,Immunoglobulin G 50 MG/ML Injectable Solution [Nanogam],AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14887,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//67//9073,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//69//12761,OMOP//OMOP_CONCEPT//44058020,,True,,OMOP_CONCEPT,44058020,,Zinc Oxide 0.1 MG/ML Topical Cream,AMSTEL_usagi,source_code_omop,medium
DRUG//START//21//12956,RICU//ABX_DURATION,,False,,RICU,,,abx_duration,YAIB_ricu,table_itemid,medium
DRUG//START//24//6882,ATC//SFX//C03,,True,,ATC,21601519,,C03CA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//12530,OMOP//OMOP_CONCEPT//19061486,,True,,OMOP_CONCEPT,19061486,,methylene blue 10 MG/ML Oral Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//42//15079,,,False,enteral_nutrition,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15105,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//55//8936,OMOP//OMOP_CONCEPT//42621046,,False,crystalloid_or_diluent,OMOP_CONCEPT,42621046,,Sodium Bicarbonate 42 MG/ML Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14858,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//7023,OMOP//OMOP_CONCEPT//40090202,,True,,OMOP_CONCEPT,40090202,,theophylline Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//29//19153,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//6904,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14975,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//70//13048,OMOP//OMOP_CONCEPT//40092427,,True,,OMOP_CONCEPT,40092427,,bosentan Oral Tablet [Tracleer],AMSTEL_usagi,source_code_omop,medium
DRUG//START//71//9130,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//13953,OMOP//OMOP_CONCEPT//40099160,,True,,OMOP_CONCEPT,40099160,,topiramate Oral Tablet [Topamax],AMSTEL_usagi,source_code_omop,medium
DRUG//START//67//13050,OMOP//OMOP_CONCEPT//21065827,,True,,OMOP_CONCEPT,21065827,,alanylglutamine Injection [Dipeptiven],AMSTEL_usagi,source_code_omop,medium
DRUG//START//69//12945,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//15//19137,OMOP//OMOP_CONCEPT//36896811,,True,,OMOP_CONCEPT,36896811,,300 ML linezolid 2 MG/ML Injectable Solution [ZYVOXID],AMSTEL_usagi,source_code_omop,medium
DRUG//START//21//13489,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//21//19741,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//32//8249,ATC//SFX//B01,,True,,ATC,21600980,,B01AB09,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//19885,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//71//13055,OMOP//OMOP_CONCEPT//40173591,,True,,OMOP_CONCEPT,40173591,,alendronic acid 10 MG Oral Tablet [Fosamax],AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//9003,OMOP//OMOP_CONCEPT//40955998,,True,,OMOP_CONCEPT,40955998,,Sulprostone Injectable Solution [NALADOR],AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//19220,OMOP//OMOP_CONCEPT//41019970,,True,,OMOP_CONCEPT,41019970,,bivalirudin Injectable Solution [Angiox],AMSTEL_usagi,source_code_omop,medium
DRUG//START//42//15118,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//71//19055,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//31//7212,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//31//9036,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15035,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15050,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15028,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14917,OMOP//OMOP_CONCEPT//4332187,,False,oral_food,OMOP_CONCEPT,4332187,,Snack food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14959,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//27//8547,ATC//J02//ANTIMYCOTICS_FOR_SYSTEMIC_USE,,True,,ATC,21603082,,J02AC03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//42//15127,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14867,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//15006,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//8120,OMOP//OMOP_CONCEPT//40165020,,True,,OMOP_CONCEPT,40165020,,meperidine hydrochloride 50 MG/ML Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//25//8375,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15052,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14996,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//69//9079,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//70//19160,OMOP//OMOP_CONCEPT//19121580,,True,,OMOP_CONCEPT,19121580,,tiotropium 0.018 MG Inhalation Powder [Spiriva],AMSTEL_usagi,source_code_omop,medium
DRUG//START//24//7224,OMOP//OMOP_CONCEPT//43784530,,True,,OMOP_CONCEPT,43784530,,Flecainide 10 MG/ML Injectable Solution [Tambocor],AMSTEL_usagi,source_code_omop,medium
DRUG//START//42//20735,,,False,enteral_nutrition,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//70//6970,OMOP//OMOP_CONCEPT//40992961,,True,,OMOP_CONCEPT,40992961,,Codeine 20 MG Oral Tablet,AMSTEL_usagi,source_code_omop,medium
DRUG//START//32//16369,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//65//9011,OMOP//OMOP_CONCEPT//40079395,,True,,OMOP_CONCEPT,40079395,,streptokinase Injectable Solution [Streptase],AMSTEL_usagi,source_code_omop,medium
DRUG//START//27//15296,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15072,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//118//14188,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//6940,OMOP//OMOP_CONCEPT//43030135,,True,,OMOP_CONCEPT,43030135,,Chlorpromazine 5 MG/ML Injectable Solution [Largactil],AMSTEL_usagi,source_code_omop,medium
DRUG//START//42//15069,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15136,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//63//12429,OMOP//OMOP_CONCEPT//40798859,,False,enteral_nutrition,OMOP_CONCEPT,40798859,,General Nutrients,AMSTEL_usagi,source_code_omop,medium
DRUG//START//31//7016,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//55//7255,OMOP//OMOP_CONCEPT//589977,,False,crystalloid_or_diluent,OMOP_CONCEPT,589977,,Glucose 200 MG/ML Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14866,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14886,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//70//9144,OMOP//OMOP_CONCEPT//40090178,,True,,OMOP_CONCEPT,40090178,,theophylline Extended Release Oral Tablet,AMSTEL_usagi,source_code_omop,medium
DRUG//START//21//19739,OMOP//OMOP_CONCEPT//40010553,,True,,OMOP_CONCEPT,40010553,,atazanavir Oral Capsule [Reyataz],AMSTEL_usagi,source_code_omop,medium
DRUG//START//21//9549,OMOP//OMOP_CONCEPT//1717240,,True,,OMOP_CONCEPT,1717240,,amphotericin B,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14991,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//65//7224,OMOP//OMOP_CONCEPT//43784530,,True,,OMOP_CONCEPT,43784530,,Flecainide 10 MG/ML Injectable Solution [Tambocor],AMSTEL_usagi,source_code_omop,medium
DRUG//START//71//12944,OMOP//OMOP_CONCEPT//35754788,,True,,OMOP_CONCEPT,35754788,,Ethinyl Estradiol 30 / Levonorgestrel 150 Oral Tablet [Microgynon],AMSTEL_usagi,source_code_omop,medium
DRUG//START//118//13472,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15081,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14814,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//67//6947,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//69//9617,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//27//6929,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15101,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15111,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//65//6882,ATC//SFX//C03,,True,,ATC,21601519,,C03CA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//6970,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//31//9131,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//20729,,,False,enteral_nutrition,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14865,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//118//20498,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//21//14211,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14912,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//67//10599,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//6829,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14908,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//71//19151,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//118//20674,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//17//8971,,,False,route_or_order_metadata,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//65//21242,OMOP//OMOP_CONCEPT//36782200,,True,,OMOP_CONCEPT,36782200,,Sufentanil Injectable Solution [Sufenta],AMSTEL_usagi,source_code_omop,medium
DRUG//START//118//19942,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//8425,OMOP//OMOP_CONCEPT//42619948,,True,,OMOP_CONCEPT,42619948,,Pyridostigmine 5 MG/ML Injectable Solution [Mestinon],AMSTEL_usagi,source_code_omop,medium
DRUG//START//42//15064,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14993,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//6988,OMOP//OMOP_CONCEPT//36786130,,True,,OMOP_CONCEPT,36786130,,Droperidol 2.5 MG/ML Injectable Solution [Dehydrobenzperidol],AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14969,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//71//16963,OMOP//OMOP_CONCEPT//21055684,,True,,OMOP_CONCEPT,21055684,,cinacalcet Oral Tablet [Mimpara],AMSTEL_usagi,source_code_omop,medium
DRUG//START//25//18773,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14876,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14890,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//7184,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600097,,A02BC02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//6951,OMOP//OMOP_CONCEPT//40029063,,True,,OMOP_CONCEPT,40029063,,cisapride Oral Tablet [Prepulsid],AMSTEL_usagi,source_code_omop,medium
DRUG//START//39//12620,OMOP//OMOP_CONCEPT//588017,,False,parenteral_nutrition,OMOP_CONCEPT,588017,,Amino Acids,AMSTEL_usagi,source_code_omop,medium
DRUG//START//118//20673,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//25//13047,OMOP//RXNORM_EXTENSION//35753899,,True,,RxNorm Extension,35753899,,Factor VIIa Injectable Solution [Novoseven],AMSTEL_usagi,source_code_omop,medium
DRUG//START//25//9461,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15112,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//21//9142,RICU//ABX_DURATION,,False,,RICU,,,abx_duration,YAIB_ricu,table_itemid,medium
DRUG//START//31//12923,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15124,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//20733,,,False,enteral_nutrition,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//21054,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//118//20703,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//21//13094,RICU//ABX_DURATION,,False,,RICU,,,abx_duration,YAIB_ricu,table_itemid,medium
DRUG//START//30//13014,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//30//9113,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//32//20263,OMOP//OMOP_CONCEPT//19034752,,True,,OMOP_CONCEPT,19034752,,sirolimus 1 MG Oral Tablet [Rapamune],AMSTEL_usagi,source_code_omop,medium
DRUG//START//42//20727,,,False,enteral_nutrition,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14864,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14988,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//61//8945,OMOP//OMOP_CONCEPT//44507865,,False,blood_product,OMOP_CONCEPT,44507865,,prothrombin,AMSTEL_usagi,source_code_omop,medium
DRUG//START//118//20755,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//24//7139,OMOP//OMOP_CONCEPT//43782431,,True,,OMOP_CONCEPT,43782431,,Verapamil 2.5 MG/ML Injectable Solution [Isoptin],AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//6950,ATC//A02//DRUGS_FOR_ACID_RELATED_DISORDERS,,True,,ATC,21600083,,A02BA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//118//20158,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//118//20173,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//118//20746,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//16788,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//32//19135,OMOP//OMOP_CONCEPT//40745408,,True,,OMOP_CONCEPT,40745408,,glycopyrronium 0.2 MG/ML Oral Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//39//7262,OMOP//OMOP_CONCEPT//36249325,,False,parenteral_nutrition,OMOP_CONCEPT,36249325,,soybean oil 200 MG/ML [Intralipid],AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//7139,OMOP//OMOP_CONCEPT//43728443,,True,,OMOP_CONCEPT,43728443,,Verapamil Injectable Solution [Isoptin],AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//7173,ATC//SFX//C01,,True,,ATC,21600234,,C01AA05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//118//18733,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//15//16367,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//9141,OMOP//OMOP_CONCEPT//43182023,,True,,OMOP_CONCEPT,43182023,,Succinylcholine 50 MG/ML [SUXAMETHONIUM BIOCODEX],AMSTEL_usagi,source_code_omop,medium
DRUG//START//27//6972,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//30//19372,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//32//19210,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14868,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//15008,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//67//7321,OMOP//OMOP_CONCEPT//43255418,,True,,OMOP_CONCEPT,43255418,,Ascorbic Acid 100 MG / Biotin 0.06 MG / Folic Acid 0.4 MG / Niacinamide 42.5 MG / Pantothenic Acid 15 MG / pyridoxine 4.06 MG / Riboflavin 3.4 MG / Thiamine 3 MG / Vitamin B 12 0.005 MG Injection [Soluvit N],AMSTEL_usagi,source_code_omop,medium
DRUG//START//118//20172,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//21//19775,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//55//8942,OMOP//OMOP_CONCEPT//42620284,,True,,OMOP_CONCEPT,42620284,,Metronidazole Injectable Solution [Flagyl],AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14889,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//118//20284,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//9048,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//30//9026,OMOP//OMOP_CONCEPT//40044779,,True,,OMOP_CONCEPT,40044779,,hydralazine Oral Tablet [Apresoline],AMSTEL_usagi,source_code_omop,medium
DRUG//START//30//9059,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15096,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14888,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//15//16368,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//24//6927,OMOP//OMOP_CONCEPT//2924033,,True,,OMOP_CONCEPT,2924033,,procainamide 100 MG/ML Injection [Pronestyl],AMSTEL_usagi,source_code_omop,medium
DRUG//START//29//19162,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//29//9112,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15107,,,False,oral_food,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14891,OMOP//OMOP_CONCEPT//4037090,,False,oral_food,OMOP_CONCEPT,4037090,,Cooked food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//65//7064,ATC//J01//ANTIBIOTICS_AND_ANTIBACTERIALS_FOR_SYSTEMIC_USE,,True,,ATC,21603043,,J01XA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//118//13476,,,False,research_or_trial,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//9004,OMOP//OMOP_CONCEPT//36250010,,True,,OMOP_CONCEPT,36250010,,pentobarbital Injectable Solution [Nembutal],AMSTEL_usagi,source_code_omop,medium
DRUG//START//27//9091,OMOP//OMOP_CONCEPT//44109975,,True,,OMOP_CONCEPT,44109975,,Methylene blue 10 MG/ML Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//30//20169,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//39//18790,OMOP//OMOP_CONCEPT//2022647,,False,parenteral_nutrition,OMOP_CONCEPT,2022647,,"2000 ML alanine 8.44 MG/ML / arginine 5.7 MG/ML / aspartic acid 1.65 MG/ML / calcium chloride, dihydration 0.516 MG/ML / glucose 115 MG/ML / glutamate 2.84 MG/ML / glycerol mono(di)sodium phosphate 3.67 MG/ML / ... Injectable Solution [OLIMEL N9E]",AMSTEL_usagi,source_code_omop,medium
DRUG//START//55//7254,OMOP//OMOP_CONCEPT//42937947,,False,crystalloid_or_diluent,OMOP_CONCEPT,42937947,,Glucose 100 MG/ML Injectable Solution,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14921,OMOP//OMOP_CONCEPT//4332187,,False,oral_food,OMOP_CONCEPT,4332187,,Snack food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//21//19774,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//23//7479,OMOP//OMOP_CONCEPT//19034044,,True,,OMOP_CONCEPT,19034044,,ketamine 10 MG/ML Injectable Solution [Ketalar],AMSTEL_usagi,source_code_omop,medium
DRUG//START//25//20361,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//31//9024,OMOP//OMOP_CONCEPT//43816742,,True,,OMOP_CONCEPT,43816742,,Aluminum Hydroxide Oral Tablet [Algeldrate],AMSTEL_usagi,source_code_omop,medium
DRUG//START//32//6877,,,False,,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//42//15080,,,False,oral_drink,,,,,AMSTEL_source_concepts,label_context,low
DRUG//START//56//14931,OMOP//OMOP_CONCEPT//4332187,,False,oral_food,OMOP_CONCEPT,4332187,,Snack food,AMSTEL_usagi,source_code_omop,medium
DRUG//START//56//14949,OMOP//OMOP_CONCEPT//4332187,,False,oral_food,OMOP_CONCEPT,4332187,,Snack food,AMSTEL_usagi,source_code_omop,medium
