source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
LAB//9993//mmol/l,v13_lab_consolidation,LOINC//3006576,dynamic_event/lab,True,,LOINC,3006576.0,3006576,3006576,AMSTEL,source_code,high
LAB//18449//E/l,v13_lab_consolidation,LOINC//3004905,dynamic_event/lab,True,,LOINC,3004905.0,3004905,3004905,AMSTEL,source_code,high
LAB//6849//mmol/l,v13_lab_consolidation,LOINC//42868692,dynamic_event/lab,True,,LOINC,42868692.0,42868692,42868692,AMSTEL,source_code,high
LAB//9995//mmol/l,v13_lab_consolidation,LOINC//3012501,dynamic_event/lab,True,,LOINC,3012501.0,3012501,3012501,AMSTEL,source_code,high
LAB//18376//mmol/l,v13_lab_consolidation,LOINC//40762351,dynamic_event/lab,True,,LOINC,40762351.0,40762351,40762351,AMSTEL,source_code,high
LAB//8917//mol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//12048//E/l,v13_lab_consolidation,LOINC//3005785,dynamic_event/lab,True,,LOINC,3005785.0,3005785,3005785,AMSTEL,source_code,high
LAB//6772//UNKNOWN,v13_lab_consolidation,LOINC//3028615,dynamic_event/lab,True,,LOINC,3028615.0,3028615,3028615,AMSTEL,source_code,high
LAB//7093//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//8908//g/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//10315//mmol/l,v13_lab_consolidation,LOINC//3048816,dynamic_event/lab,True,,LOINC,3048816.0,3048816,3048816,AMSTEL,source_code,high
LAB//10373//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//11789//Geen,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
LAB//11979//E/l,v13_lab_consolidation,OMOP//OMOP//3006923,dynamic_event/lab,True,,OMOP,3006923.0,3006923,alanine_aminotransferase,BlendedICU,label_exact,high
LAB//11985//E/l,v13_lab_consolidation,LOINC//3035995,dynamic_event/lab,True,,LOINC,3035995.0,3035995,3035995,AMSTEL,source_code,high
LAB//11991//E/l,v13_lab_consolidation,OMOP//OMOP//3013721,dynamic_event/lab,True,,OMOP,3013721.0,3013721,aspartate_aminotransferase,BlendedICU,label_exact,high
LAB//12216//µmol/24uur,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
LAB//12218//µmol/24uur,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//18417//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//18847//E/l,v13_lab_consolidation,OMOP//OMOP//3006923,dynamic_event/lab,True,,OMOP,3006923.0,3006923,alanine_aminotransferase,BlendedICU,label_exact,high
LAB//18853//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//19352//mmol/24uur,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//7810//UNKNOWN,v13_lab_consolidation,LOINC//3004905,dynamic_event/lab,True,,LOINC,3004905.0,3004905,3004905,AMSTEL,source_code,high
LAB//7846//mmol/l,v13_lab_consolidation,LOINC//43534077,dynamic_event/lab,True,,LOINC,43534077.0,43534077,43534077,AMSTEL,source_code,high
LAB//8922//mmol/l,v13_lab_consolidation,LOINC//3016771,dynamic_event/lab,True,,LOINC,3016771.0,3016771,3016771,AMSTEL,source_code,high
LAB//9959//mg/l,v13_lab_consolidation,LOINC//3019473,dynamic_event/lab,True,,LOINC,3019473.0,3019473,3019473,AMSTEL,source_code,high
